date,experiment_id,hypothesis,change,motivation,training_window,validation_window,metric,result,decision,notes
2026-08-25,W0-001,Lock research design,Created protocol and clean-panel scope,Prevent untracked adaptation before final test,2005-2019,2020-2023,N/A,Design locked,Proceed,2024-2025 is final test only and is not a validation window
2026-08-25,W1-001,Build point-in-time eligible universe,Added auditable classification and investability rules plus 20-trading-day target,Establish a leakage-safe research panel before signals,2005-2019,2020-2023,Panel validation,21104236 panel rows; 8399139 eligible; 8321030 eligible with target,Proceed,2024-2025 remains final test only; target is censored if 20 later returns are incomplete
2026-08-30,W2-001,Medium-term momentum (skip most recent 20 days) predicts positive 20-day forward cross-sectional returns,"Added mom_120_20 factor and the reusable single-factor evaluation harness (IC, deciles, rank autocorrelation, coverage, non-overlapping 20-day long-short with turnover and costs)",First vertical slice of Week 2; establishes the template applied identically to the other five signals,n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; Newey-West(20) t-stat; gross/net Sharpe at 1/5/10/20 bps,Mean rank IC -0.00002 (NW t=-0.00); mean Pearson IC 0.0056 (NW t=0.73); decile returns non-monotonic (hump peaking at D3); rank autocorr 0.987 (1d) / 0.768 (20d); turnover 0.895 per rebalance; gross Sharpe 0.188; net Sharpe 0.178/0.138/0.088/-0.011 at 1/5/10/20bp; breakeven ~19bp; -41.6% worst period in the 2009 momentum crash,Keep in the six-signal set as a documented null; do not re-tune the window; do not treat as a standalone strategy,2024-2025 sealed: last evaluated date 2023-11-30 so no target window reaches into 2024. Memo: reports/factor_memo_01_momentum.md
2026-08-30,W2-002,Recent five-day losers outperform over the next 20 days,Added rev_5 = -sum of the last five daily returns,Plan 5.2 short-term reversal,n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; NW(20) t; gross/net Sharpe,Rank IC +0.0077 (t=2.12); deciles rise monotonically D1-D9 then D10 collapses; turnover 1.74; gross Sharpe 0.149; breakeven 6.0bp; net Sharpe -0.108 at 10bp,"Keep with caution: does not survive Bonferroni across the six tests, and offset spread is -0.32 to +0.55","Long-short book longs D10, the one decile that breaks the pattern"
2026-08-30,W2-003,High realized volatility predicts lower 20-day returns,Added rvol_20 = sqrt(sum of squared returns over t-20..t-1),Plan 5.3 realized volatility,n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; NW(20) t; gross/net Sharpe,"Signed rank IC +0.0286 (t=-2.85 raw, correct direction); effect is concentrated in D10 at 0.45% vs 0.94% interior peak; turnover 1.22; gross Sharpe 0.161; breakeven 14.0bp; net Sharpe 0.047 at 10bp",Keep as the strongest single candidate; survives Bonferroni,"D1 is below the interior peak, so this is a short of high volatility rather than a low-volatility premium"
2026-08-30,W2-004,Abnormally high volume predicts higher 20-day returns,Added vs_20 = log(turnover_t / mean turnover over t-20..t-1),Plan 5.4 volume surprise,n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; NW(20) t; gross/net Sharpe,"Rank IC +0.0056 (t=3.43, most significant of the six); gross Sharpe 0.344; turnover 1.84; breakeven 5.6bp; net Sharpe -0.273 at 10bp","Keep, but record that it is statistically real and economically unusable on its own","Turnover rather than share volume, because price/volume/shares are as-traded in this export and a split cancels out of the turnover ratio"
2026-08-30,W2-005,Momentum in market-model residuals predicts higher 20-day returns,"Added rmom_120_20: OLS on 252 days ending t-21, residuals summed over t-120..t-21 in closed form",Plan 5.5 residual momentum,n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; NW(20) t; gross/net Sharpe,"Rank IC -0.0036 (t=-0.63), wrong sign, negative in 12 of 18 years; gross Sharpe 0.059; breakeven 3.7bp; coverage 98.98% with 20 zero-coverage dates in Jan 2006 because the factor needs 273 days of history",Keep only for the Week 5 ablation,Residualising did not rescue momentum; it removed what little was left
2026-08-30,W2-006,Stocks near their 252-day high outperform stocks in deep drawdown,"Added dd_252 on the cumulative total-return index, not on price",Plan 5.6 drawdown,n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; NW(20) t; gross/net Sharpe,"Rank IC +0.0150 (t=1.39, insignificant); hump-shaped deciles, D1 0.60% and D10 0.67% against an interior peak of 0.98%; turnover 1.00; gross Sharpe 0.032; breakeven 3.6bp",Keep as a control,Measured on returns because price is not split-adjusted in this export
2026-08-30,W2-007,Portfolio statistics are sensitive to the rebalance offset and to the drawdown convention,Averaged all 20 rebalance offsets instead of one; floored the drawdown peak at starting wealth 1.0,A single-offset book gave rev_5 a negative gross Sharpe despite a significantly positive IC,n/a (no fitting),2006-01-03 to 2023-11-30,Gross Sharpe mean and spread across the 20 offsets,"Offset spread is widest for the high-turnover factors: rev_5 -0.315 to +0.547, vs_20 0.065 to 0.630. Momentum gross Sharpe 0.188 -> 0.147 and breakeven ~19bp -> ~14.9bp",Adopt offset averaging as the standard convention; supersede the portfolio numbers in W2-001,Estimator change only; no factor was re-tuned and 2024-2025 remains sealed
2026-08-31,W2-008,Volume surprise and drawdown require same-close execution unless their inputs are lagged one day,"Lagged vs_20 to turnover at t-1 against t-21..t-2, and dd_252 to the drawdown at t-1 against the peak over t-252..t-1; strengthened the shared leakage test to perturb row t itself","The target runs from the close of t, so a signal needing t's own close could only be executed at the instant the return starts accruing",n/a (no fitting),2006-01-03 to 2023-11-30,Mean Spearman IC; NW(20) t; gross Sharpe; breakeven cost,"vs_20 signed IC 0.0056->0.0039, NW t 3.43->2.50, gross Sharpe 0.344->0.256, breakeven 5.6bp->4.1bp, no longer survives Bonferroni across six tests. dd_252 nearly unchanged: t 1.39->1.44, gross Sharpe 0.032->0.044",Adopt the lagged definitions; all six factors are now determined by the close of t-1,About a third of the volume-surprise IC was an execution assumption. rvol_20 is now the only factor surviving the multiple-testing correction.
